ticker,issuer,policy_relevance,sample_decision,stage2_group,confidence,manual_confidence_score,sample_inclusion_weight,primary_mechanism,secondary_mechanism,ecosystem_role,subsidy_exposure_primary_flag,subsidy_exposure_secondary_flag,subsidy_exposure_manual_weight,subsidy_exposure_confidence_weighted,subsidy_exposure_stage2_input_weight,compliance_exposure_primary_flag,compliance_exposure_secondary_flag,compliance_exposure_manual_weight,compliance_exposure_confidence_weighted,compliance_exposure_stage2_input_weight,credit_market_exposure_primary_flag,credit_market_exposure_secondary_flag,credit_market_exposure_manual_weight,credit_market_exposure_confidence_weighted,credit_market_exposure_stage2_input_weight,demand_pull_exposure_primary_flag,demand_pull_exposure_secondary_flag,demand_pull_exposure_manual_weight,demand_pull_exposure_confidence_weighted,demand_pull_exposure_stage2_input_weight,source_universe,integration_status,integration_note,subsidy_base_weight_v3,compliance_base_weight_v3,credit_market_base_weight_v3,demand_pull_base_weight_v3,IRA_policy_sample_weight_v3,IRA_subsidy_stage2_weight_v3,IRA_compliance_stage2_weight_v3,IRA_credit_market_stage2_weight_v3,IRA_demand_pull_stage2_weight_v3,LCFS_policy_sample_weight_v3,LCFS_subsidy_stage2_weight_v3,LCFS_compliance_stage2_weight_v3,LCFS_credit_market_stage2_weight_v3,LCFS_demand_pull_stage2_weight_v3,RFS2_policy_sample_weight_v3,RFS2_subsidy_stage2_weight_v3,RFS2_compliance_stage2_weight_v3,RFS2_credit_market_stage2_weight_v3,RFS2_demand_pull_stage2_weight_v3
APD,"Air Products and Chemicals, Inc.",adjacent,edge,boundary_spillover_sample,medium_high,0.85,0.6,demand_pull_exposure,compliance_exposure,boundary_hydrogen_transition_platform,0,0,0.0,0.0,0.0,0,1,0.5,0.425,0.255,0,0,0.0,0.0,0.0,1,0,1.0,0.85,0.51,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.0,0.2975,0.0,0.765,0.6,0.0,0.1785,0.0,0.45899999999999996,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.193375,0.0,0.49725
BP,BP p.l.c.,adjacent,edge,boundary_spillover_sample,medium,0.7,0.6,demand_pull_exposure,compliance_exposure,boundary_integrated_major_with_saf_projects,0,0,0.0,0.0,0.0,0,1,0.5,0.35,0.21,0,0,0.0,0.0,0.0,1,0,1.0,0.7,0.42,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.0,0.24499999999999997,0.0,0.63,0.6,0.0,0.14699999999999996,0.0,0.378,0.25,0.0,0.06124999999999999,0.0,0.1575,0.65,0.0,0.15924999999999997,0.0,0.40950000000000003
CVE,Cenovus Energy Inc.,adjacent,edge,boundary_spillover_sample,medium_low,0.55,0.6,compliance_exposure,demand_pull_exposure,adjacent_integrated_refiner_oil_sands_platform,0,0,0.0,0.0,0.0,1,0,1.0,0.55,0.33,0,0,0.0,0.0,0.0,0,1,0.5,0.275,0.165,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.0,0.49500000000000005,0.0,0.1925,0.5,0.0,0.24750000000000003,0.0,0.09625,0.25,0.0,0.12375000000000001,0.0,0.048125,0.65,0.0,0.32175000000000004,0.0,0.12512500000000001
CVI,"CVR Energy, Inc.",adjacent,edge,boundary_spillover_sample,medium_high,0.85,0.6,compliance_exposure,demand_pull_exposure,boundary_refiner_with_renewable_fuels_and_rfs_obligations,0,0,0.0,0.0,0.0,1,0,1.0,0.85,0.51,0,0,0.0,0.0,0.0,0,1,0.5,0.425,0.255,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.0,0.765,0.0,0.2975,0.5,0.0,0.3825,0.0,0.14875,1.0,0.0,0.765,0.0,0.2975,0.65,0.0,0.49725,0.0,0.193375
CVX,Chevron Corporation,adjacent,edge,boundary_spillover_sample,medium,0.7,0.6,demand_pull_exposure,compliance_exposure,boundary_integrated_major_with_renewable_fuels,0,0,0.0,0.0,0.0,0,1,0.5,0.35,0.21,0,0,0.0,0.0,0.0,1,0,1.0,0.7,0.42,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.0,0.24499999999999997,0.0,0.63,0.5,0.0,0.12249999999999998,0.0,0.315,0.25,0.0,0.06124999999999999,0.0,0.1575,0.65,0.0,0.15924999999999997,0.0,0.40950000000000003
DK,"Delek US Holdings, Inc.",adjacent,edge,boundary_spillover_sample,medium,0.7,0.6,compliance_exposure,demand_pull_exposure,boundary_refiner_with_idled_biodiesel_assets,0,0,0.0,0.0,0.0,1,0,1.0,0.7,0.42,0,0,0.0,0.0,0.0,0,1,0.5,0.35,0.21,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.0,0.63,0.0,0.24499999999999997,0.5,0.0,0.315,0.0,0.12249999999999998,0.65,0.0,0.40950000000000003,0.0,0.15924999999999997,0.65,0.0,0.40950000000000003,0.0,0.15924999999999997
EC,Ecopetrol S.A.,adjacent,edge,boundary_spillover_sample,medium_low,0.55,0.6,compliance_exposure,demand_pull_exposure,adjacent_integrated_energy_transition_platform,0,0,0.0,0.0,0.0,1,0,1.0,0.55,0.33,0,0,0.0,0.0,0.0,0,1,0.5,0.275,0.165,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.0,0.49500000000000005,0.0,0.1925,0.35,0.0,0.17325000000000002,0.0,0.06737499999999999,0.25,0.0,0.12375000000000001,0.0,0.048125,0.65,0.0,0.32175000000000004,0.0,0.12512500000000001
EQNR,Equinor ASA,adjacent,edge,boundary_spillover_sample,medium,0.7,0.6,demand_pull_exposure,subsidy_exposure,adjacent_integrated_major_with_low_carbon_business,0,1,0.5,0.35,0.21,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,1.0,0.7,0.42,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.24499999999999997,0.0,0.0,0.63,0.6,0.14699999999999996,0.0,0.0,0.378,0.0,0.0,0.0,0.0,0.0,0.2,0.048999999999999995,0.0,0.0,0.126
GIII,ReGen III Corp.,adjacent,edge,boundary_spillover_sample,low,0.4,0.6,demand_pull_exposure,compliance_exposure,adjacent_used_oil_recycling_platform,0,0,0.0,0.0,0.0,0,1,0.5,0.2,0.12,0,0,0.0,0.0,0.0,1,0,1.0,0.4,0.24,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.0,0.13999999999999999,0.0,0.36000000000000004,0.35,0.0,0.048999999999999995,0.0,0.126,0.25,0.0,0.034999999999999996,0.0,0.09000000000000001,0.65,0.0,0.091,0.0,0.23400000000000004
GLPEY,"Galp Energia, SGPS, S.A.",adjacent,edge,boundary_spillover_sample,medium,0.7,0.6,demand_pull_exposure,compliance_exposure,adjacent_refiner_building_saf_biodiesel_capacity,0,0,0.0,0.0,0.0,0,1,0.5,0.35,0.21,0,0,0.0,0.0,0.0,1,0,1.0,0.7,0.42,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.0,0.24499999999999997,0.0,0.63,0.6,0.0,0.14699999999999996,0.0,0.378,0.65,0.0,0.15924999999999997,0.0,0.40950000000000003,0.65,0.0,0.15924999999999997,0.0,0.40950000000000003
IMO,Imperial Oil Limited,adjacent,edge,boundary_spillover_sample,medium_low,0.55,0.6,compliance_exposure,demand_pull_exposure,adjacent_integrated_refiner_with_renewable_diesel_reference,0,0,0.0,0.0,0.0,1,0,1.0,0.55,0.33,0,0,0.0,0.0,0.0,0,1,0.5,0.275,0.165,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.0,0.49500000000000005,0.0,0.1925,0.5,0.0,0.24750000000000003,0.0,0.09625,0.25,0.0,0.12375000000000001,0.0,0.048125,0.65,0.0,0.32175000000000004,0.0,0.12512500000000001
LIN,Linde plc,adjacent,edge,boundary_spillover_sample,medium_high,0.85,0.6,demand_pull_exposure,compliance_exposure,boundary_industrial_gases_hydrogen_platform,0,0,0.0,0.0,0.0,0,1,0.5,0.425,0.255,0,0,0.0,0.0,0.0,1,0,1.0,0.85,0.51,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.0,0.2975,0.0,0.765,0.6,0.0,0.1785,0.0,0.45899999999999996,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.193375,0.0,0.49725
LODE,Comstock Inc.,adjacent,edge,boundary_spillover_sample,medium_high,0.85,0.6,subsidy_exposure,demand_pull_exposure,adjacent_cellulosic_fuels_and_saf_developer,1,0,1.0,0.85,0.51,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,0.5,0.425,0.255,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.765,0.0,0.0,0.2975,0.6,0.45899999999999996,0.0,0.0,0.1785,0.0,0.0,0.0,0.0,0.0,0.2,0.15300000000000002,0.0,0.0,0.0595
MMEX,MMEX Resources Corporation,adjacent,edge,boundary_spillover_sample,low,0.4,0.6,subsidy_exposure,demand_pull_exposure,adjacent_clean_fuels_infrastructure_developer,1,0,1.0,0.4,0.24,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,0.5,0.2,0.12,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.36000000000000004,0.0,0.0,0.13999999999999999,0.6,0.21600000000000003,0.0,0.0,0.08399999999999999,0.0,0.0,0.0,0.0,0.0,0.2,0.07200000000000001,0.0,0.0,0.027999999999999997
MPC,Marathon Petroleum Corporation,adjacent,edge,boundary_spillover_sample,high,1.0,0.6,compliance_exposure,credit_market_exposure,boundary_refiner_with_large_renewable_diesel_credit_stack,0,0,0.0,0.0,0.0,1,0,1.0,1.0,0.6,0,1,0.5,0.5,0.3,0,0,0.0,0.0,0.0,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.0,0.9,0.35,0.0,0.5,0.0,0.45,0.175,0.0,1.0,0.0,0.9,0.35,0.0,0.65,0.0,0.5850000000000001,0.22749999999999998,0.0
NEU,NewMarket Corporation,adjacent,edge,boundary_spillover_sample,medium,0.7,0.6,demand_pull_exposure,none_or_weak,adjacent_fuel_additives_supplier,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,1.0,0.7,0.42,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.0,0.0,0.0,0.63,0.35,0.0,0.0,0.0,0.22049999999999997,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.126
PARR,"Par Pacific Holdings, Inc.",adjacent,edge,boundary_spillover_sample,medium_high,0.85,0.6,compliance_exposure,credit_market_exposure,boundary_refiner_with_rin_optional_sale,0,0,0.0,0.0,0.0,1,0,1.0,0.85,0.51,0,1,0.5,0.425,0.255,0,0,0.0,0.0,0.0,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.0,0.765,0.2975,0.0,0.5,0.0,0.3825,0.14875,0.0,1.0,0.0,0.765,0.2975,0.0,0.65,0.0,0.49725,0.193375,0.0
PBF,PBF Energy Inc.,adjacent,edge,boundary_spillover_sample,medium_high,0.85,0.6,compliance_exposure,credit_market_exposure,boundary_refiner_with_rin_lcfs_trading_links,0,0,0.0,0.0,0.0,1,0,1.0,0.85,0.51,0,1,0.5,0.425,0.255,0,0,0.0,0.0,0.0,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.0,0.765,0.2975,0.0,0.5,0.0,0.3825,0.14875,0.0,1.0,0.0,0.765,0.2975,0.0,0.65,0.0,0.49725,0.193375,0.0
PBR,Petróleo Brasileiro S.A. - Petrobras,adjacent,edge,boundary_spillover_sample,medium,0.7,0.6,demand_pull_exposure,compliance_exposure,adjacent_integrated_major_with_renewable_fuel_content_and_saf_pathway,0,0,0.0,0.0,0.0,0,1,0.5,0.35,0.21,0,0,0.0,0.0,0.0,1,0,1.0,0.7,0.42,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.0,0.24499999999999997,0.0,0.63,0.6,0.0,0.14699999999999996,0.0,0.378,0.25,0.0,0.06124999999999999,0.0,0.1575,0.65,0.0,0.15924999999999997,0.0,0.40950000000000003
PCCYF,PetroChina Company Limited,adjacent,edge,boundary_spillover_sample,low,0.4,0.6,demand_pull_exposure,compliance_exposure,adjacent_integrated_major_with_hydrogen_transition_language,0,0,0.0,0.0,0.0,0,1,0.5,0.2,0.12,0,0,0.0,0.0,0.0,1,0,1.0,0.4,0.24,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.0,0.13999999999999999,0.0,0.36000000000000004,0.6,0.0,0.08399999999999999,0.0,0.21600000000000003,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.091,0.0,0.23400000000000004
PSX,Phillips 66,adjacent,edge,boundary_spillover_sample,high,1.0,0.6,demand_pull_exposure,compliance_exposure,boundary_refiner_with_dedicated_renewable_fuels_segment,0,0,0.0,0.0,0.0,0,1,0.5,0.5,0.3,0,0,0.0,0.0,0.0,1,0,1.0,1.0,0.6,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.0,0.35,0.0,0.9,0.5,0.0,0.175,0.0,0.45,1.0,0.0,0.35,0.0,0.9,0.65,0.0,0.22749999999999998,0.0,0.5850000000000001
SU,Suncor Energy Inc.,adjacent,edge,boundary_spillover_sample,medium,0.7,0.6,compliance_exposure,demand_pull_exposure,adjacent_integrated_major_with_renewable_fuels_investments,0,0,0.0,0.0,0.0,1,0,1.0,0.7,0.42,0,0,0.0,0.0,0.0,0,1,0.5,0.35,0.21,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.0,0.63,0.0,0.24499999999999997,0.5,0.0,0.315,0.0,0.12249999999999998,0.25,0.0,0.1575,0.0,0.06124999999999999,0.65,0.0,0.40950000000000003,0.0,0.15924999999999997
TTE,TotalEnergies SE,adjacent,edge,boundary_spillover_sample,medium_high,0.85,0.6,demand_pull_exposure,compliance_exposure,adjacent_integrated_major_with_saf_and_biorefinery_buildout,0,0,0.0,0.0,0.0,0,1,0.5,0.425,0.255,0,0,0.0,0.0,0.0,1,0,1.0,0.85,0.51,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.0,0.2975,0.0,0.765,0.6,0.0,0.1785,0.0,0.45899999999999996,0.25,0.0,0.074375,0.0,0.19125,0.65,0.0,0.193375,0.0,0.49725
XOM,Exxon Mobil Corporation,adjacent,edge,boundary_spillover_sample,medium,0.7,0.6,demand_pull_exposure,compliance_exposure,adjacent_integrated_major_with_lower_emission_fuels_platform,0,0,0.0,0.0,0.0,0,1,0.5,0.35,0.21,0,0,0.0,0.0,0.0,1,0,1.0,0.7,0.42,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.0,0.24499999999999997,0.0,0.63,0.35,0.0,0.08574999999999998,0.0,0.22049999999999997,0.25,0.0,0.06124999999999999,0.0,0.1575,0.65,0.0,0.15924999999999997,0.0,0.40950000000000003
YPF,YPF Sociedad Anónima,adjacent,edge,boundary_spillover_sample,medium,0.7,0.6,demand_pull_exposure,compliance_exposure,adjacent_integrated_major_with_new_energies_and_saf_optionality,0,0,0.0,0.0,0.0,0,1,0.5,0.35,0.21,0,0,0.0,0.0,0.0,1,0,1.0,0.7,0.42,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.0,0.24499999999999997,0.0,0.63,0.6,0.0,0.14699999999999996,0.0,0.378,0.25,0.0,0.06124999999999999,0.0,0.1575,0.65,0.0,0.15924999999999997,0.0,0.40950000000000003
ALTO,"Alto Ingredients, Inc.",core,keep,main_operating_sample,medium_high,0.85,1.0,demand_pull_exposure,subsidy_exposure,core_low_carbon_fuel_tax_credit_player,0,1,0.5,0.425,0.425,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,1.0,0.85,0.85,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.2975,0.0,0.0,0.765,1.0,0.2975,0.0,0.0,0.765,1.0,0.2975,0.0,0.0,0.765,1.0,0.2975,0.0,0.0,0.765
AMTX,"Aemetis, Inc.",core,keep,main_operating_sample,high,1.0,1.0,credit_market_exposure,compliance_exposure,core_low_carbon_fuel_credit_linked_producer,0,0,0.0,0.0,0.0,0,1,0.5,0.5,0.5,1,0,1.0,1.0,1.0,0,0,0.0,0.0,0.0,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.0,0.35,0.9,0.0,1.0,0.0,0.35,0.9,0.0,1.0,0.0,0.35,0.9,0.0,1.0,0.0,0.35,0.9,0.0
CLMT,"Calumet, Inc.",core,keep,main_operating_sample,medium,0.7,1.0,subsidy_exposure,demand_pull_exposure,core_saf_renewable_diesel_producer,1,0,1.0,0.7,0.7,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,0.5,0.35,0.35,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.63,0.0,0.0,0.24499999999999997,1.0,0.63,0.0,0.0,0.24499999999999997,1.0,0.63,0.0,0.0,0.24499999999999997,1.0,0.63,0.0,0.0,0.24499999999999997
DINO,HF Sinclair Corporation,core,keep,main_operating_sample,medium_high,0.85,1.0,demand_pull_exposure,compliance_exposure,core_refining_plus_renewable_diesel_operator,0,0,0.0,0.0,0.0,0,1,0.5,0.425,0.425,0,0,0.0,0.0,0.0,1,0,1.0,0.85,0.85,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.0,0.2975,0.0,0.765,1.0,0.0,0.2975,0.0,0.765,1.0,0.0,0.2975,0.0,0.765,1.0,0.0,0.2975,0.0,0.765
FF,FutureFuel Corp.,core,keep,main_operating_sample,medium_high,0.85,1.0,subsidy_exposure,compliance_exposure,core_biodiesel_specialty_chemicals_mix,1,0,1.0,0.85,0.85,0,1,0.5,0.425,0.425,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.765,0.2975,0.0,0.0,1.0,0.765,0.2975,0.0,0.0,1.0,0.765,0.2975,0.0,0.0,1.0,0.765,0.2975,0.0,0.0
GEVO,"Gevo, Inc.",core,keep,main_operating_sample,high,1.0,1.0,subsidy_exposure,demand_pull_exposure,core_saf_developer,1,0,1.0,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,0.5,0.5,0.5,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.9,0.0,0.0,0.35,1.0,0.9,0.0,0.0,0.35,1.0,0.9,0.0,0.0,0.35,1.0,0.9,0.0,0.0,0.35
GPRE,Green Plains Inc.,core,keep,main_operating_sample,high,1.0,1.0,credit_market_exposure,demand_pull_exposure,core_ethanol_biorefining_platform,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,0,1,0.5,0.5,0.5,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.0,0.0,0.9,0.35,1.0,0.0,0.0,0.9,0.35,1.0,0.0,0.0,0.9,0.35,1.0,0.0,0.0,0.9,0.35
HEOL,"Highwater Ethanol, LLC",core,keep,main_operating_sample,medium,0.7,1.0,demand_pull_exposure,credit_market_exposure,core_ethanol_producer,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,0.5,0.35,0.35,1,0,1.0,0.7,0.7,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.0,0.0,0.24499999999999997,0.63,1.0,0.0,0.0,0.24499999999999997,0.63,1.0,0.0,0.0,0.24499999999999997,0.63,1.0,0.0,0.0,0.24499999999999997,0.63
REX,REX American Resources Corporation,core,keep,main_operating_sample,medium_high,0.85,1.0,credit_market_exposure,demand_pull_exposure,core_ethanol_investor_operator,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,1.0,0.85,0.85,0,1,0.5,0.425,0.425,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.0,0.0,0.765,0.2975,1.0,0.0,0.0,0.765,0.2975,1.0,0.0,0.0,0.765,0.2975,1.0,0.0,0.0,0.765,0.2975
VLO,Valero Energy Corporation,core,keep,main_operating_sample,high,1.0,1.0,compliance_exposure,demand_pull_exposure,core_refining_renewable_diesel_ethanol_platform,0,0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,0,0,0.0,0.0,0.0,0,1,0.5,0.5,0.5,SEC_direct,included,Included through the reviewed SEC-direct firm-side calibration pipeline.,0.0,0.9,0.0,0.35,1.0,0.0,0.9,0.0,0.35,1.0,0.0,0.9,0.0,0.35,1.0,0.0,0.9,0.0,0.35
CRDE,"Cardinal Ethanol, LLC",core,keep,main_operating_sample,high,1.0,1.0,credit_market_exposure,demand_pull_exposure,alt_core_ethanol_llc_operator,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,0,1,0.5,0.5,0.5,Alt_or_no_SEC,included_provisional_alt,"Provisional alt-source bridge inclusion. Candidate passed current-operating check strongly enough for later Stage 2 merge testing, but should be tracked separately from the SEC-direct core.",0.0,0.0,0.9,0.35,1.0,0.0,0.0,0.9,0.35,1.0,0.0,0.0,0.9,0.35,1.0,0.0,0.0,0.9,0.35
