ticker,ticker_raw_original,naics,cik,source_route,issuer,business_text_status,policy_relevance,primary_mechanism,secondary_mechanism,ecosystem_role,confidence,sample_decision,why_model_score_is_reasonable,possible_false_inflation_source,notes,extraction_priority,priority_rank,priority_rationale,recommended_next_action
CVX,CVX,[324110],93410.0,SEC_direct,Chevron Corporation,official_sec_evidence_reviewed,adjacent,demand_pull_exposure,compliance_exposure,boundary_integrated_major_with_renewable_fuels,medium,edge,"SEC materials tie Chevron to lower-carbon businesses in renewable fuels and related feedstocks, supporting a real but diversified demand-pull channel.",The companys scale in conventional oil and gas may overwhelm the renewable-fuels narrative in full-firm text.,"Upgraded from preliminary to official SEC evidence-reviewed status using annual-report language on renewable fuels, hydrogen, carbon capture, and renewable feedstocks for SAF or renewable diesel.",tier_2_boundary,2,Boundary issuer now evidence-reviewed; useful for separating direct fuel-policy exposure from broader refining or transition exposure.,Completed official SEC evidence review; retain in boundary set for mechanism separation tests.
DINO,DINO,[324110],1915657.0,SEC_direct,HF Sinclair Corporation,official_sec_evidence_reviewed,core,demand_pull_exposure,compliance_exposure,core_refining_plus_renewable_diesel_operator,medium_high,keep,"SEC disclosures state that HF Sinclair produces renewable diesel and markets transportation fuels, supporting demand-pull plus compliance exposure.",Large conventional refining footprint can inflate generic fuel-language overlap beyond the low-carbon channel.,Upgraded from preliminary to evidence-reviewed using SEC annual-report language on renewable diesel production.,tier_1_core,1,Highest value for mechanism calibration because issuer is likely a direct sustainable-fuel or policy-linked operating exposure.,Extract Item 1 Business next and run full manual calibration.
DK,DK,[324110],1694426.0,SEC_direct,"Delek US Holdings, Inc.",official_sec_evidence_reviewed,adjacent,compliance_exposure,demand_pull_exposure,boundary_refiner_with_idled_biodiesel_assets,medium,edge,"SEC materials confirm owned biodiesel capacity, but the idling decision keeps the exposure boundary-like and supports a compliance-heavy interpretation.",Idled biodiesel assets may make historical renewable-fuel language look stronger than current operating exposure.,Upgraded from preliminary to official SEC evidence-reviewed status using annual-report language on owned biodiesel facilities that were later idled.,tier_2_boundary,2,Boundary issuer now evidence-reviewed; useful for separating direct fuel-policy exposure from broader refining or transition exposure.,Completed official SEC evidence review; retain in boundary set for mechanism separation tests.
EC,EC,[324110],1444406.0,SEC_direct,Ecopetrol S.A.,official_sec_evidence_reviewed,adjacent,compliance_exposure,demand_pull_exposure,adjacent_integrated_energy_transition_platform,medium_low,edge,Energy-transition investment can produce real adjacent exposure to policy-driven low-carbon markets.,Broad transition language may be more strategic than operating at the firm-wide level.,"Official SEC materials emphasize diversification into low-carbon businesses and investment in an Energy for Transition line, but not a core fuel-policy operating profile.",tier_3_adjacent,3,Useful for adjacent-transition calibration after core and boundary issuers are stabilized.,Extract after core set; use mainly to test spillover and adjacent-transition inflation.
EQNR,EQNR,[324110],1140625.0,SEC_direct,Equinor ASA,official_sec_evidence_reviewed,adjacent,demand_pull_exposure,subsidy_exposure,adjacent_integrated_major_with_low_carbon_business,medium,edge,Hydrogen and lower-carbon growth projects support adjacent demand-pull and policy-supported expansion channels.,The broad oil and gas base may dominate the text relative to low-carbon business lines.,SEC materials describe a low-carbon business buildout rather than a direct sustainable-fuels operating base.,tier_3_adjacent,3,Useful for adjacent-transition calibration after core and boundary issuers are stabilized.,Extract after core set; use mainly to test spillover and adjacent-transition inflation.
FF,FF,[325199],1337298.0,SEC_direct,FutureFuel Corp.,official_sec_evidence_reviewed,core,subsidy_exposure,compliance_exposure,core_biodiesel_specialty_chemicals_mix,medium_high,keep,"Direct biodiesel production is a clean fit for subsidy-sensitive low-carbon fuel economics, with some compliance relevance through regulated fuel programs.",Specialty-chemicals segment may add industrial-language noise unrelated to sustainable-fuel policy.,Upgraded from preliminary to evidence-reviewed using SEC disclosures that the biofuels segment primarily produces and sells biodiesel.,tier_1_core,1,Highest value for mechanism calibration because issuer is likely a direct sustainable-fuel or policy-linked operating exposure.,Extract Item 1 Business next and run full manual calibration.
GEVO,GEVO,[325193],1392380.0,SEC_direct,"Gevo, Inc.",official_sec_evidence_reviewed,core,subsidy_exposure,demand_pull_exposure,core_saf_developer,high,keep,"SEC filings directly frame Gevo around SAF and low-carbon drop-in fuels, making subsidy exposure and demand pull both substantive rather than incidental.",Project-development language may overstate near-term operating exposure relative to current commercial scale.,"Upgraded from preliminary to evidence-reviewed using SEC 10-K and 10-Q language on SAF, drop-in hydrocarbon fuels, RNG, and net-zero design.",tier_1_core,1,Highest value for mechanism calibration because issuer is likely a direct sustainable-fuel or policy-linked operating exposure.,Extract Item 1 Business next and run full manual calibration.
GIII,GIII.,[324110],821002.0,SEC_direct,ReGen III Corp.,official_materials_reviewed,adjacent,demand_pull_exposure,compliance_exposure,adjacent_used_oil_recycling_platform,low,edge,Circular-fuels and recycling language can legitimately create adjacent overlap with the policy prototypes.,"Lubricant and circular-material narratives are not the same as direct SAF, ethanol, or renewable diesel exposure.",Official and industry materials point to used-motor-oil recycling into circular Group III base oils. The fit is adjacent and circular-economy oriented rather than core sustainable-fuel exposure.,tier_3_adjacent,3,Useful for adjacent-transition calibration after core and boundary issuers are stabilized.,Extract after core set; use mainly to test spillover and adjacent-transition inflation.
GLPEY,GLPEY,[324110],1385535.0,SEC_direct,"Galp Energia, SGPS, S.A.",official_company_materials_reviewed,adjacent,demand_pull_exposure,compliance_exposure,adjacent_refiner_building_saf_biodiesel_capacity,medium,edge,"The project supports real adjacent exposure to future SAF and biodiesel demand, though it remains part of a broader integrated refiner profile.",Project-stage language may look stronger than current operating exposure.,Official annual-report materials and public reporting point to a Sines project targeting biodiesel and SAF production using green hydrogen.,tier_3_adjacent,3,Useful for adjacent-transition calibration after core and boundary issuers are stabilized.,Extract after core set; use mainly to test spillover and adjacent-transition inflation.
GPRE,GPRE,[325193],1309402.0,SEC_direct,Green Plains Inc.,official_sec_evidence_reviewed,core,credit_market_exposure,demand_pull_exposure,core_ethanol_biorefining_platform,high,keep,Large-scale ethanol and renewable corn oil operations make Green Plains a strong candidate for direct exposure to low-carbon fuel demand and tradable-credit-linked economics.,Commodity and agribusiness language may raise general fuel similarity even when not tied to policy-specific channels.,"Upgraded from preliminary to evidence-reviewed using SEC annual-report and quarterly-report language on ethanol, renewable corn oil, and biorefinery operations.",tier_1_core,1,Highest value for mechanism calibration because issuer is likely a direct sustainable-fuel or policy-linked operating exposure.,Extract Item 1 Business next and run full manual calibration.
HEOL,HEOL,[325193],1371451.0,SEC_direct,"Highwater Ethanol, LLC",official_sec_evidence_reviewed,core,demand_pull_exposure,credit_market_exposure,core_ethanol_producer,medium,keep,"A dedicated ethanol operating profile supports genuine low-carbon fuel demand exposure, with possible indirect credit-market sensitivity.",Single-plant scale and sparse public narrative can make pure operating descriptions look weaker than larger diversified issuers.,Upgraded from preliminary to evidence-reviewed using SEC filings describing a roughly 70 million gallon annual ethanol production rate.,tier_1_core,1,Highest value for mechanism calibration because issuer is likely a direct sustainable-fuel or policy-linked operating exposure.,Extract Item 1 Business next and run full manual calibration.
IFF,IFF,[325199],51253.0,SEC_direct,International Flavors & Fragrances Inc.,official_sec_evidence_reviewed,non_core,none_or_weak,compliance_exposure,non_core_ingredients_control,medium,control,Regulatory and chemical-registration language can generate weak compliance-like text overlap.,Ingredient and consumer-products regulation has little to do with fuel-policy transmission.,"Official SEC materials confirm a flavors, ingredients, health, scent, and pharma-solutions platform. It remains a non-core control.",tier_4_control,4,Negative-control or generic-regulation text useful for false-positive checks.,Extract selectively for negative-control validation.
IMO,IMO,[324110],49938.0,SEC_direct,Imperial Oil Limited,official_materials_reviewed,adjacent,compliance_exposure,demand_pull_exposure,adjacent_integrated_refiner_with_renewable_diesel_reference,medium_low,edge,Downstream refining plus renewable-diesel references support adjacent policy sensitivity through regulation and product-market shifts.,The renewable component is small relative to the full conventional asset base.,Official company materials reference renewable diesel within broader downstream operations. The issuer remains adjacent rather than core.,tier_3_adjacent,3,Useful for adjacent-transition calibration after core and boundary issuers are stabilized.,Extract after core set; use mainly to test spillover and adjacent-transition inflation.
LIN,LIN,[325120],1707925.0,SEC_direct,Linde plc,official_sec_evidence_reviewed,adjacent,demand_pull_exposure,compliance_exposure,boundary_industrial_gases_hydrogen_platform,medium_high,edge,"Linde has clear hydrogen-transition exposure in SEC materials, which supports demand-pull sensitivity to decarbonization markets even though it is not a core fuel issuer.",Industrial-gases transition language can be adjacent rather than directly tied to liquid sustainable-fuel economics.,Upgraded from preliminary to official SEC evidence-reviewed status using annual-report language on low-carbon and renewable hydrogen technologies.,tier_2_boundary,2,Boundary issuer now evidence-reviewed; useful for separating direct fuel-policy exposure from broader refining or transition exposure.,Completed official SEC evidence review; retain in boundary set for mechanism separation tests.
LODE,LODE,[324110],1120970.0,SEC_direct,Comstock Inc.,official_sec_evidence_reviewed,adjacent,subsidy_exposure,demand_pull_exposure,adjacent_cellulosic_fuels_and_saf_developer,medium_high,edge,The text directly matches subsidy-sensitive project development and low-carbon fuel commercialization themes.,Development-stage and investor-presentation language may run ahead of current commercial scale.,"Official SEC materials describe Bioleum, SAF and renewable-diesel related pathways, but the company is still a developer rather than a scaled operating fuel producer.",tier_3_adjacent,3,Useful for adjacent-transition calibration after core and boundary issuers are stabilized.,Extract after core set; use mainly to test spillover and adjacent-transition inflation.
MMEX,MMEX,[324110],1440799.0,SEC_direct,MMEX Resources Corporation,official_sec_evidence_reviewed,adjacent,subsidy_exposure,demand_pull_exposure,adjacent_clean_fuels_infrastructure_developer,low,edge,The stated focus on clean-fuels infrastructure and hydrogen supports adjacent exposure to subsidy-driven project economics.,Project-intent language can overstate the depth of current operating exposure.,"Official SEC materials frame MMEX around clean-fuels infrastructure, blue hydrogen, and green ammonia development rather than an operating fuel platform.",tier_3_adjacent,3,Useful for adjacent-transition calibration after core and boundary issuers are stabilized.,Extract after core set; use mainly to test spillover and adjacent-transition inflation.
MPC,MPC,[324110],1510295.0,SEC_direct,Marathon Petroleum Corporation,official_sec_evidence_reviewed,adjacent,compliance_exposure,credit_market_exposure,boundary_refiner_with_large_renewable_diesel_credit_stack,high,edge,"SEC materials connect Marathon Petroleum directly to renewable-fuels production and a credit stack involving RINs, 45Z, and LCFS, validating a compliance-plus-credit-market profile.",Large conventional refining operations can still dominate the business text and mask how much of the signal comes from renewable assets.,"Upgraded from preliminary to official SEC evidence-reviewed status using annual-report language on renewable-fuels production plus RIN, 45Z, and LCFS credit generation.",tier_2_boundary,2,Boundary issuer now evidence-reviewed; useful for separating direct fuel-policy exposure from broader refining or transition exposure.,Completed official SEC evidence review; retain in boundary set for mechanism separation tests.
NEU,NEU,[325199],1282637.0,SEC_direct,NewMarket Corporation,official_sec_evidence_reviewed,adjacent,demand_pull_exposure,none_or_weak,adjacent_fuel_additives_supplier,medium,edge,Supplying additives into fuel systems creates a plausible adjacent link to changing low-carbon fuel product demand.,Most revenue still comes from additives and chemicals rather than direct fuel production.,"Official SEC materials confirm a specialty-chemicals platform supplying lubricant and fuel additives, including additives used in biofuels and other fuels.",tier_3_adjacent,3,Useful for adjacent-transition calibration after core and boundary issuers are stabilized.,Extract after core set; use mainly to test spillover and adjacent-transition inflation.
OCLN,OCLN,[324199],1419793.0,SEC_direct,"OriginClear, Inc.",official_sec_evidence_reviewed,non_core,compliance_exposure,none_or_weak,non_core_water_infrastructure_control,medium,control,Water-treatment and infrastructure compliance language can resemble environmental policy vocabularies.,Environmental-services wording can be mistaken for direct low-carbon fuel relevance.,Official SEC materials confirm a water-treatment and water-infrastructure business. It remains a non-core control.,tier_4_control,4,Negative-control or generic-regulation text useful for false-positive checks.,Extract selectively for negative-control validation.
PARR,PARR,[324110],821483.0,SEC_direct,"Par Pacific Holdings, Inc.",official_sec_evidence_reviewed,adjacent,compliance_exposure,credit_market_exposure,boundary_refiner_with_rin_optional_sale,medium_high,edge,SEC materials show a textbook compliance channel with optional credit-market upside when blending exceeds requirements.,The economic value of excess RIN generation may vary materially with blending conditions and refinery operations.,"Upgraded from preliminary to official SEC evidence-reviewed status using annual-report language on RFS blending requirements, RIN retention, and open-market RIN sales.",tier_2_boundary,2,Boundary issuer now evidence-reviewed; useful for separating direct fuel-policy exposure from broader refining or transition exposure.,Completed official SEC evidence review; retain in boundary set for mechanism separation tests.
PBF,PBF,[324110],1534504.0,SEC_direct,PBF Energy Inc.,official_sec_evidence_reviewed,adjacent,compliance_exposure,credit_market_exposure,boundary_refiner_with_rin_lcfs_trading_links,medium_high,edge,"SEC materials explicitly reference RIN and LCFS credit transactions, supporting a compliance-primary and credit-market-secondary interpretation.",Credit-trading language can reflect compliance optimization rather than a broad renewable-fuels operating base.,Upgraded from preliminary to official SEC evidence-reviewed status using annual-report and quarterly-report language on RIN and LCFS credit purchases and sales.,tier_2_boundary,2,Boundary issuer now evidence-reviewed; useful for separating direct fuel-policy exposure from broader refining or transition exposure.,Completed official SEC evidence review; retain in boundary set for mechanism separation tests.
PBR,PBR,[324110],1119639.0,SEC_direct,Petróleo Brasileiro S.A. - Petrobras,official_sec_evidence_reviewed,adjacent,demand_pull_exposure,compliance_exposure,adjacent_integrated_major_with_renewable_fuel_content_and_saf_pathway,medium,edge,Renewable-content diesel and transition investment provide a real adjacent low-carbon-fuels signal.,The scale of conventional oil and refining can dominate the text and dilute the directness of the renewable channel.,"SEC materials and official disclosures reference renewable-content diesel and a SAF-related pathway, but the overall business remains dominated by traditional oil and refining operations.",tier_3_adjacent,3,Useful for adjacent-transition calibration after core and boundary issuers are stabilized.,Extract after core set; use mainly to test spillover and adjacent-transition inflation.
PCCYF,PCCYF,[324110],1108329.0,SEC_direct,PetroChina Company Limited,official_sec_evidence_reviewed,adjacent,demand_pull_exposure,compliance_exposure,adjacent_integrated_major_with_hydrogen_transition_language,low,edge,Hydrogen-transition language can create adjacent overlap with low-carbon policy prototypes.,The business is still overwhelmingly a conventional integrated oil and gas platform.,Official SEC materials reference hydrogen alongside broader oil and gas operations. The fit remains adjacent and low-confidence.,tier_3_adjacent,3,Useful for adjacent-transition calibration after core and boundary issuers are stabilized.,Extract after core set; use mainly to test spillover and adjacent-transition inflation.
PMBY,PMBY,[325199],1898798.0,SEC_direct,PMB Aerospace Corporation,official_identity_reviewed,non_core,none_or_weak,none_or_weak,dropped_aerospace_identity_mismatch,low,drop,Residual ticker-universe noise can mechanically survive a wide initial screen.,Universe construction noise rather than substantive policy exposure.,Dropped after official identity review because the company profile is aerospace-focused and outside the fuel-policy mechanism universe.,tier_5_drop,5,Low-priority issuer with weak policy fit or likely universe noise.,Do not prioritize unless needed for universe cleaning.
PSX,PSX,[324110],1534701.0,SEC_direct,Phillips 66,official_sec_evidence_reviewed,adjacent,demand_pull_exposure,compliance_exposure,boundary_refiner_with_dedicated_renewable_fuels_segment,high,edge,"SEC materials show a dedicated renewable-fuels segment and renewable diesel or renewable jet fuel distribution, validating a strong demand-pull channel.",Full-firm text still contains extensive conventional refining language that can blur the renewable-fuels share of the business.,Upgraded from preliminary to official SEC evidence-reviewed status using annual-report and quarterly-report language on a Renewable Fuels segment and renewable diesel or jet fuel output.,tier_2_boundary,2,Boundary issuer now evidence-reviewed; useful for separating direct fuel-policy exposure from broader refining or transition exposure.,Completed official SEC evidence review; retain in boundary set for mechanism separation tests.
PTOI,PTOI,[324199],1381105.0,SEC_direct,"Plastic2Oil, Inc.",official_identity_reviewed,non_core,none_or_weak,none_or_weak,dropped_revoked_registration_legacy_name,low,drop,Legacy waste-to-fuel wording can still mechanically overlap with low-carbon prototype terms.,A stale legacy profile and revoked registration can create misleading historical signal.,"Dropped after review because the SEC company page indicates revoked Exchange Act registration, making it unsuitable for the active issuer mechanism set.",tier_3_adjacent,3,Useful for adjacent-transition calibration after core and boundary issuers are stabilized.,Extract after core set; use mainly to test spillover and adjacent-transition inflation.
QREE,QREE,[324110],1295961.0,SEC_direct,"Quantum Energy, Inc.",official_identity_reviewed,non_core,none_or_weak,none_or_weak,dropped_photonic_energy_identity_mismatch,low,drop,Generic clean-energy vocabulary can create shallow prototype overlap.,Broad energy-technology language without direct liquid-fuels policy transmission.,Dropped after official identity review because the business centers on photonic energy systems rather than the sustainable-fuels mechanism set used in this project.,tier_5_drop,5,Low-priority issuer with weak policy fit or likely universe noise.,Do not prioritize unless needed for universe cleaning.
REX,REX,[325193],744187.0,SEC_direct,REX American Resources Corporation,official_sec_evidence_reviewed,core,credit_market_exposure,demand_pull_exposure,core_ethanol_investor_operator,medium_high,keep,"REX is economically tied to ethanol production entities, which fits credit-linked and low-carbon fuel demand channels.",Holding-company structure may dilute the directness of operating-text evidence relative to wholly owned producers.,Upgraded from preliminary to evidence-reviewed using SEC reporting and earnings disclosures describing interests in multiple ethanol production facilities.,tier_1_core,1,Highest value for mechanism calibration because issuer is likely a direct sustainable-fuel or policy-linked operating exposure.,Extract Item 1 Business next and run full manual calibration.
SU,SU,[324110],311337.0,SEC_direct,Suncor Energy Inc.,official_sec_evidence_reviewed,adjacent,compliance_exposure,demand_pull_exposure,adjacent_integrated_major_with_renewable_fuels_investments,medium,edge,Renewable-fuels investment within a large integrated downstream system supports adjacent compliance and product-market sensitivity.,Most of the business remains centered on conventional oil sands and refining.,Official annual-information-form materials state that Suncor is advancing a low-emissions future through investments in renewable fuels.,tier_3_adjacent,3,Useful for adjacent-transition calibration after core and boundary issuers are stabilized.,Extract after core set; use mainly to test spillover and adjacent-transition inflation.
SXC,SXC,[324199],1514705.0,SEC_direct,"SunCoke Energy, Inc.",official_sec_evidence_reviewed,non_core,compliance_exposure,none_or_weak,non_core_coke_and_industrial_services_control,medium,control,Heavy-industry and environmental-compliance language can create superficial policy overlap.,Metallurgical coke and logistics are outside the direct sustainable-fuels mechanism set.,Official SEC materials confirm a domestic-coke and industrial-services platform. It remains a non-core control.,tier_4_control,4,Negative-control or generic-regulation text useful for false-positive checks.,Extract selectively for negative-control validation.
SXT,SXT,[325199],310142.0,SEC_direct,Sensient Technologies Corporation,official_sec_evidence_reviewed,non_core,none_or_weak,compliance_exposure,non_core_flavors_colors_ingredients_control,medium,control,Ingredient regulation and manufacturing-compliance language can create weak false-positive overlap.,"Food, pharma, and ingredients regulation is not a direct fuel-policy mechanism.","Official SEC materials confirm a flavors, colors, and ingredients platform. It remains a non-core control.",tier_4_control,4,Negative-control or generic-regulation text useful for false-positive checks.,Extract selectively for negative-control validation.
TTE,TTE,[324110],879764.0,SEC_direct,TotalEnergies SE,official_sec_evidence_reviewed,adjacent,demand_pull_exposure,compliance_exposure,adjacent_integrated_major_with_saf_and_biorefinery_buildout,medium_high,edge,Documented SAF and hydrogen-linked biorefinery activity supports real adjacent exposure to low-carbon aviation and fuel markets.,The diversified integrated-energy platform can dilute the strength of the specific fuel-policy channel.,Official SEC materials describe TotalEnergies as active in SAF and biorefinery-linked hydrogen projects.,tier_3_adjacent,3,Useful for adjacent-transition calibration after core and boundary issuers are stabilized.,Extract after core set; use mainly to test spillover and adjacent-transition inflation.
VLO,VLO,[324110],1035002.0,SEC_direct,Valero Energy Corporation,official_sec_evidence_reviewed,core,compliance_exposure,demand_pull_exposure,core_refining_renewable_diesel_ethanol_platform,high,keep,"Valero explicitly discloses both compliance obligations and benefits from demand for low-carbon products, making its compliance plus demand-pull mix evidence-based.",Large refining footprint can cause compliance language to dominate even when renewable segments are the true policy-sensitive component.,"Upgraded from preliminary to evidence-reviewed using SEC filings describing refining, renewable diesel, and ethanol segments plus LCFS-driven demand.",tier_1_core,1,Highest value for mechanism calibration because issuer is likely a direct sustainable-fuel or policy-linked operating exposure.,Extract Item 1 Business next and run full manual calibration.
XOM,XOM,[324110],34088.0,SEC_direct,Exxon Mobil Corporation,official_sec_evidence_reviewed,adjacent,demand_pull_exposure,compliance_exposure,adjacent_integrated_major_with_lower_emission_fuels_platform,medium,edge,These lower-emission business lines create a genuine adjacent link to demand for policy-supported low-carbon fuels and technologies.,The integrated oil and gas base is much larger than the lower-emission segment.,"Official SEC materials reference lower-emission fuels, hydrogen, and carbon capture as part of lower-emission business opportunities.",tier_3_adjacent,3,Useful for adjacent-transition calibration after core and boundary issuers are stabilized.,Extract after core set; use mainly to test spillover and adjacent-transition inflation.
YPF,YPF,[324110],904851.0,SEC_direct,YPF Sociedad Anónima,official_company_materials_reviewed,adjacent,demand_pull_exposure,compliance_exposure,adjacent_integrated_major_with_new_energies_and_saf_optionality,medium,edge,The companys refining base plus emerging SAF and new-energy activity supports adjacent demand-pull exposure.,The new-energy narrative is still small compared with the legacy refining and upstream business.,"Official sustainability materials describe YPF as a broad energy company with renewables and new energies, while later public reporting links it to a SAF venture.",tier_3_adjacent,3,Useful for adjacent-transition calibration after core and boundary issuers are stabilized.,Extract after core set; use mainly to test spillover and adjacent-transition inflation.
